Airline,Source,Destination,Departure_Time,Duration_Hours,Total_Stops,Days_Left,Class,Price
AirAsia,Chennai,Mumbai,Afternoon,1.5,1,22,Economy,7982
AirAsia,Hyderabad,Mumbai,Evening,1.3,1,6,Economy,9254
IndiGo,Kolkata,Chennai,Night,5.5,2,26,Economy,11456
AirAsia,Kolkata,Bangalore,Morning,7.4,2,55,Economy,10248
IndiGo,Chennai,Mumbai,Evening,3.8,1,34,Economy,9220
SpiceJet,Chennai,Mumbai,Evening,2.6,2,39,Economy,8153
SpiceJet,Chennai,Mumbai,Morning,3.6,1,43,Economy,8307
Air India,Mumbai,Chennai,Evening,6.1,2,22,Economy,12500
Air India,Chennai,Hyderabad,Night,3.0,2,27,Business,16697
AirAsia,Delhi,Mumbai,Evening,3.6,0,30,Business,15170
Air India,Hyderabad,Delhi,Morning,2.8,0,27,Economy,8894
IndiGo,Delhi,Bangalore,Afternoon,7.1,2,10,Economy,13268
Air India,Delhi,Mumbai,Night,3.0,0,4,Economy,10953
AirAsia,Bangalore,Kolkata,Evening,3.3,2,19,Economy,10430
AirAsia,Mumbai,Hyderabad,Afternoon,6.5,1,20,Economy,11474
AirAsia,Kolkata,Hyderabad,Night,2.3,2,48,Business,12668
SpiceJet,Bangalore,Hyderabad,Afternoon,6.4,1,4,Economy,12959
AirAsia,Delhi,Mumbai,Night,3.0,0,5,Economy,10535
SpiceJet,Chennai,Delhi,Afternoon,3.5,0,10,Economy,10967
AirAsia,Hyderabad,Chennai,Night,2.6,2,22,Economy,9869
Air India,Chennai,Hyderabad,Afternoon,7.3,0,25,Economy,12320
Vistara,Bangalore,Delhi,Evening,6.6,2,16,Economy,14870
Air India,Delhi,Kolkata,Afternoon,1.1,1,9,Economy,8590
IndiGo,Mumbai,Delhi,Night,7.6,2,25,Economy,13548
SpiceJet,Delhi,Kolkata,Morning,7.5,1,40,Economy,10906
Air India,Bangalore,Delhi,Evening,7.0,0,17,Economy,12661
IndiGo,Chennai,Bangalore,Evening,6.4,2,45,Business,16823
Vistara,Delhi,Mumbai,Afternoon,2.1,1,49,Economy,6991
Vistara,Bangalore,Hyderabad,Afternoon,4.8,0,40,Economy,9581
Vistara,Delhi,Hyderabad,Night,7.0,0,48,Economy,9583
Air India,Bangalore,Kolkata,Morning,2.1,2,2,Business,18859
AirAsia,Bangalore,Delhi,Night,2.8,2,3,Business,17934
IndiGo,Kolkata,Chennai,Morning,1.1,0,11,Economy,8241
IndiGo,Kolkata,Delhi,Morning,6.1,1,5,Economy,12418
AirAsia,Delhi,Kolkata,Evening,1.4,2,39,Business,14526
Vistara,Chennai,Kolkata,Night,6.3,0,24,Economy,12262
Air India,Mumbai,Hyderabad,Morning,1.7,1,5,Business,17166
Air India,Delhi,Hyderabad,Afternoon,5.1,0,27,Economy,10297
Vistara,Mumbai,Delhi,Night,5.4,1,38,Business,17589
AirAsia,Bangalore,Kolkata,Evening,7.7,2,41,Economy,12147
Air India,Mumbai,Hyderabad,Afternoon,7.8,2,27,Economy,13970
Vistara,Delhi,Mumbai,Night,2.7,1,29,Economy,9703
Vistara,Chennai,Bangalore,Night,1.0,1,36,Economy,7517
SpiceJet,Delhi,Hyderabad,Morning,1.1,2,49,Economy,6529
Air India,Hyderabad,Delhi,Afternoon,6.2,1,35,Business,18670
SpiceJet,Chennai,Delhi,Evening,2.8,0,59,Economy,5348
IndiGo,Delhi,Kolkata,Morning,2.7,0,40,Economy,6947
IndiGo,Chennai,Kolkata,Morning,1.1,2,48,Business,12943
IndiGo,Hyderabad,Mumbai,Evening,5.2,1,48,Economy,7761
SpiceJet,Mumbai,Kolkata,Evening,3.0,1,3,Economy,10995
Air India,Hyderabad,Bangalore,Morning,7.4,1,43,Economy,11584
SpiceJet,Delhi,Chennai,Morning,7.3,0,18,Economy,12841
SpiceJet,Bangalore,Kolkata,Afternoon,4.0,1,60,Economy,6325
Air India,Kolkata,Mumbai,Evening,3.0,2,58,Economy,7473
SpiceJet,Chennai,Bangalore,Night,1.7,2,3,Economy,9290
IndiGo,Mumbai,Delhi,Afternoon,2.1,0,5,Economy,9774
SpiceJet,Bangalore,Kolkata,Morning,1.1,2,56,Economy,5863
AirAsia,Delhi,Hyderabad,Evening,1.5,0,45,Economy,4877
IndiGo,Mumbai,Bangalore,Morning,1.7,0,6,Economy,8328
AirAsia,Bangalore,Delhi,Afternoon,7.2,2,16,Economy,13988
AirAsia,Chennai,Hyderabad,Night,5.9,2,48,Economy,8925
Air India,Delhi,Hyderabad,Morning,6.1,1,30,Economy,10915
SpiceJet,Kolkata,Bangalore,Afternoon,4.6,2,14,Economy,10771
SpiceJet,Hyderabad,Bangalore,Night,5.3,0,9,Economy,11761
IndiGo,Mumbai,Bangalore,Morning,4.5,2,13,Business,17445
AirAsia,Mumbai,Hyderabad,Night,5.2,0,29,Economy,9325
Air India,Chennai,Hyderabad,Morning,5.8,1,49,Business,16739
IndiGo,Delhi,Mumbai,Evening,1.5,0,3,Economy,9842
SpiceJet,Kolkata,Delhi,Morning,4.7,0,29,Economy,9568
SpiceJet,Delhi,Kolkata,Evening,3.0,2,14,Economy,10099
AirAsia,Bangalore,Kolkata,Afternoon,3.7,1,51,Economy,7718
IndiGo,Mumbai,Chennai,Night,7.8,0,49,Economy,10440
Vistara,Kolkata,Hyderabad,Afternoon,3.2,2,3,Economy,12554
Vistara,Bangalore,Chennai,Night,6.1,1,31,Economy,11886
Air India,Kolkata,Chennai,Morning,1.7,0,36,Economy,8165
AirAsia,Mumbai,Bangalore,Night,6.3,2,32,Economy,11255
Vistara,Kolkata,Hyderabad,Evening,5.6,2,28,Economy,12049
Vistara,Mumbai,Delhi,Morning,5.6,1,37,Economy,10763
Vistara,Chennai,Hyderabad,Afternoon,3.7,2,57,Economy,9360
SpiceJet,Bangalore,Mumbai,Afternoon,4.5,2,16,Economy,10716
IndiGo,Mumbai,Bangalore,Night,4.8,0,47,Economy,8660
IndiGo,Bangalore,Hyderabad,Afternoon,2.9,0,58,Economy,6210
SpiceJet,Mumbai,Hyderabad,Night,6.3,1,24,Economy,11438
SpiceJet,Chennai,Kolkata,Morning,4.0,0,37,Economy,8115
IndiGo,Hyderabad,Mumbai,Night,2.4,2,29,Economy,8078
Air India,Chennai,Mumbai,Night,2.7,1,38,Economy,8628
AirAsia,Mumbai,Kolkata,Evening,2.7,2,16,Economy,10116
SpiceJet,Delhi,Kolkata,Evening,3.5,2,54,Economy,7971
IndiGo,Bangalore,Mumbai,Night,3.2,2,15,Economy,9884
Vistara,Mumbai,Kolkata,Night,3.9,0,10,Economy,11627
Air India,Bangalore,Kolkata,Afternoon,2.0,0,20,Economy,8299
SpiceJet,Bangalore,Mumbai,Morning,5.4,0,51,Economy,8370
IndiGo,Mumbai,Chennai,Afternoon,1.4,2,18,Economy,9031
Vistara,Hyderabad,Mumbai,Morning,5.4,2,41,Economy,12104
SpiceJet,Kolkata,Delhi,Afternoon,4.2,2,17,Economy,11057
SpiceJet,Hyderabad,Mumbai,Afternoon,6.5,2,59,Economy,9337
SpiceJet,Hyderabad,Bangalore,Night,7.7,0,13,Economy,12682
SpiceJet,Delhi,Bangalore,Afternoon,5.1,2,22,Economy,11213
AirAsia,Hyderabad,Bangalore,Evening,7.2,2,53,Economy,10369
Vistara,Delhi,Kolkata,Night,2.5,0,47,Economy,7881
SpiceJet,Chennai,Kolkata,Evening,4.0,0,17,Business,16619
Vistara,Hyderabad,Chennai,Afternoon,3.7,1,7,Economy,12142
SpiceJet,Hyderabad,Mumbai,Evening,2.0,2,37,Economy,6966
AirAsia,Kolkata,Bangalore,Afternoon,1.1,1,39,Economy,5573
Air India,Kolkata,Hyderabad,Afternoon,7.3,1,38,Business,17968
Vistara,Hyderabad,Mumbai,Night,5.3,1,5,Economy,13157
SpiceJet,Bangalore,Chennai,Afternoon,7.1,0,55,Business,16174
Air India,Mumbai,Delhi,Morning,3.9,0,22,Economy,10686
AirAsia,Delhi,Bangalore,Morning,6.4,1,27,Economy,11327
SpiceJet,Chennai,Delhi,Night,5.8,2,57,Business,14948
IndiGo,Kolkata,Bangalore,Night,1.9,0,45,Business,12568
AirAsia,Chennai,Bangalore,Morning,4.6,1,31,Economy,8901
AirAsia,Hyderabad,Kolkata,Afternoon,7.0,2,45,Economy,10981
IndiGo,Hyderabad,Chennai,Afternoon,3.6,2,10,Economy,11278
SpiceJet,Chennai,Hyderabad,Morning,1.2,2,21,Business,15038
AirAsia,Hyderabad,Kolkata,Morning,7.1,1,49,Economy,9331
AirAsia,Delhi,Mumbai,Morning,3.1,1,27,Economy,8839
Air India,Hyderabad,Bangalore,Evening,7.4,2,37,Economy,11917
IndiGo,Mumbai,Bangalore,Afternoon,8.0,1,29,Economy,12409
